nama,ulasan,label,sentiment,score
almas musfirah,"Fenomena yg cukup unik. Api menyala dari dalam tanah terus menerus aka abadi. Sayangnya kurang pengelolaan gitu2 aja cm dipagerin bahkan ngga ada tulisan api abadi, kurang kreatif aja buat jd tempt wisata pdhl potensial",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9994487166404724}]",0.9994487166404724
Rizky Amalia Jasmine,"- wisata yang unik
- ada toilet
- ada mushola …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9782482385635376}]",0.9782482385635376
Harwanto,"Maha Besar Allah, kebesaran Allah api terus menyala, rombongan pondok Lubabul Fattah, Tulungagung Jawa Timur, saat berkunjung 26 Des 2022.",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.940848171710968}]",0.940848171710968
Lingga Kurniawan,"api abadi...
tak pernah padaam.
disarankan kesini pas malam hari.bisa bakar"" jaguung 👍👍 …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9434921145439148}]",0.9434921145439148
Zaenal Arifin,"Kuasa tuhan

Dan kekayaan alam Nusantara ynag melimpah …",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9970388412475586}]",0.9970388412475586
Amelia Lutfia,Untuk wisata kurang instragamable...lokasi yg panas dan cocok untuk berbelanja oleh2.,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9987572431564331}]",0.9987572431564331
ummi hanif,"Tempat wisata yang potensial, tapi kurang dikelola dengan baik. Jadi terlihat kurang menarik. Padahal antusias pengunjung lumayan banyak, terutama pengunjung dari luar kota yang penasaran ingin menyaksikan Api Abadi tersebut. …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9992345571517944}]",0.9992345571517944
Dimas,"Tidak worth it.

Kobaran apinya kecil yg cuma menyala di pinggir pagar. Kelebihannya adalah …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.995708703994751}]",0.995708703994751
Etik Lindawati,Perlu pengelolaan yg lbh baik agar lebih menarik untuk dikunjungi dan kebersihan perlu ditingkatkan,NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9993382096290588}]",0.9993382096290588
Hendra Rusmana,"Ini salah satu wisata andalan Pamekasan, Api Tak kunjung Padam yang letaknya di daerak Tlanakan, orang setempat menyebutnya Jengkah.
Lokasinya yaitu pintu masuk menuju Gerbang Pamekasan, sebelah kiri sebelum …",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.8415741324424744}]",0.8415741324424744
Riadi Ahmad,Tempat yang nyaman untuk menjernihkan pikiran dan membeli oleh oleh khas madura dengan harga terjangkau,POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997076392173767}]",0.9997076392173767
